policy,scenario,mean_cost,std_cost,episode_costs
random,normal_operations,5781399.6964,249092.89604514773,"[np.float64(5445567.569), np.float64(5657117.315), np.float64(6079911.167), np.float64(5662401.119000001), np.float64(6062001.312000001)]"
reorder_point,normal_operations,1476538.2145999998,34197.58275505311,"[np.float64(1455292.353), np.float64(1480914.1599999997), np.float64(1423087.348), np.float64(1506833.6080000002), np.float64(1516563.6039999998)]"
dqn,normal_operations,2211873.6210000003,41665.311176641,"[np.float64(2163633.805), np.float64(2234622.9779999997), np.float64(2159293.5239999993), np.float64(2247502.638000001), np.float64(2254315.1599999997)]"
independent_multi_agent,normal_operations,5349338.80712,121909.12276585432,"[np.float64(5199192.31295), np.float64(5413106.462799998), np.float64(5204684.624200001), np.float64(5458300.689), np.float64(5471409.946649999)]"
coordinated_multi_agent,normal_operations,12759828.883250002,81068.11414029388,"[np.float64(12667244.066299995), np.float64(12796808.404550001), np.float64(12670229.726400001), np.float64(12785791.068199998), np.float64(12879071.150800005)]"
random,high_demand,5930005.8045,300360.9082311757,"[np.float64(5426890.055), np.float64(6349391.354), np.float64(5962564.862), np.float64(5856333.267), np.float64(6054849.484499999)]"
reorder_point,high_demand,2396447.9259,50248.01153350145,"[np.float64(2365475.5585), np.float64(2396572.7239999995), np.float64(2320023.6565), np.float64(2444137.5204999996), np.float64(2456030.1700000004)]"
dqn,high_demand,3334656.4138999996,62436.10919428941,"[np.float64(3262429.943999999), np.float64(3369456.8435), np.float64(3255682.5564999995), np.float64(3387744.2419999987), np.float64(3397968.4835)]"
independent_multi_agent,high_demand,8793002.262155002,193567.18969688052,"[np.float64(8569064.487625001), np.float64(8900801.895175003), np.float64(8548194.903699994), np.float64(8957648.970800001), np.float64(8989301.053475006)]"
coordinated_multi_agent,high_demand,15009660.945804998,151121.32845253628,"[np.float64(14823707.792350002), np.float64(15220536.817975), np.float64(14936464.408324994), np.float64(14914177.294799997), np.float64(15153418.415575003)]"
random,supplier_crisis,5651811.5772,164296.52979660805,"[np.float64(5684994.841), np.float64(5596051.896), np.float64(5364844.049999999), np.float64(5822353.600000001), np.float64(5790813.499)]"
reorder_point,supplier_crisis,1642021.4353999996,34443.31792138403,"[np.float64(1624632.728), np.float64(1643760.839), np.float64(1586559.8249999997), np.float64(1674264.281), np.float64(1680889.504)]"
dqn,supplier_crisis,2211873.6210000003,41665.311176641,"[np.float64(2163633.805), np.float64(2234622.9779999997), np.float64(2159293.5239999993), np.float64(2247502.638000001), np.float64(2254315.1599999997)]"
independent_multi_agent,supplier_crisis,5387113.28063,126654.45098339635,"[np.float64(5236153.8767), np.float64(5457355.884399998), np.float64(5231084.147500001), np.float64(5497917.366900001), np.float64(5513055.12765)]"
coordinated_multi_agent,supplier_crisis,12720223.02416,116918.28618664456,"[np.float64(12537429.944999998), np.float64(12822575.59815), np.float64(12626516.82375), np.float64(12791238.987599997), np.float64(12823353.766300002)]"
random,demand_shock,7046181.829000001,419097.05659347435,"[np.float64(6835065.519999999), np.float64(6531918.243000001), np.float64(7591853.451000001), np.float64(6778775.884), np.float64(7493296.046999999)]"
reorder_point,demand_shock,5459070.3714000005,124506.53617969196,"[np.float64(5315323.858999999), np.float64(5529932.049999999), np.float64(5301077.738000002), np.float64(5564235.940999999), np.float64(5584782.269000001)]"
dqn,demand_shock,6705633.111599999,124824.86570584746,"[np.float64(6560956.081999998), np.float64(6776774.066000001), np.float64(6547755.7009999985), np.float64(6811035.007999998), np.float64(6831644.700999999)]"
independent_multi_agent,demand_shock,19243097.430650003,387058.2656420547,"[np.float64(18794506.266250003), np.float64(19464280.985299997), np.float64(18753425.061549988), np.float64(19569751.449100006), np.float64(19633523.391050007)]"
coordinated_multi_agent,demand_shock,20491873.04677,1411823.775272223,"[np.float64(20056564.76825), np.float64(19858421.4345), np.float64(19281778.646250002), np.float64(23261416.863250006), np.float64(20001183.521599997)]"
random,capacity_crisis,5055677.0322,306601.3415040326,"[np.float64(4986465.387000001), np.float64(4993851.837), np.float64(4548255.652), np.float64(5367212.000000001), np.float64(5382600.285)]"
reorder_point,capacity_crisis,1476538.2145999998,34197.58275505311,"[np.float64(1455292.353), np.float64(1480914.1599999997), np.float64(1423087.348), np.float64(1506833.6080000002), np.float64(1516563.6039999998)]"
dqn,capacity_crisis,2211873.6210000003,41665.311176641,"[np.float64(2163633.805), np.float64(2234622.9779999997), np.float64(2159293.5239999993), np.float64(2247502.638000001), np.float64(2254315.1599999997)]"
independent_multi_agent,capacity_crisis,5349338.80712,121909.12276585432,"[np.float64(5199192.31295), np.float64(5413106.462799998), np.float64(5204684.624200001), np.float64(5458300.689), np.float64(5471409.946649999)]"
coordinated_multi_agent,capacity_crisis,10776718.40012,112954.5348576367,"[np.float64(10664920.029000001), np.float64(10793439.539749997), np.float64(10644311.6117), np.float64(10828779.314299997), np.float64(10952141.50585)]"
